match_id,point_number,set_no,p1_sets_won,p2_sets_won,p1_games,p2_games,p1_score,p2_score,point_winner,p1_win_prob,p2_win_prob,is_critical_point,p1_win_prob_cf,p2_win_prob_cf,cf_p1_games,cf_p2_games,cf_p1_score,cf_p2_score
2019-wimbledon-2701,77,2,0,1,2,3,30,30,2,0.1552977287476139,0.8447022712523861,0,,,,,,
2019-wimbledon-2701,78,2,0,1,2,3,30,40,2,0.129217830479743,0.8707821695202569,0,,,,,,
2019-wimbledon-2701,79,2,0,1,2,4,0,0,2,0.1038941752994098,0.8961058247005902,0,,,,,,
2019-wimbledon-2701,80,2,0,1,2,4,0,15,2,0.0877348589105095,0.9122651410894904,0,,,,,,
2019-wimbledon-2701,81,2,0,1,2,4,0,30,1,0.0794299254912668,0.9205700745087332,0,,,,,,
2019-wimbledon-2701,82,2,0,1,2,4,15,30,1,0.0856796927290855,0.9143203072709144,0,,,,,,
2019-wimbledon-2701,83,2,0,1,2,4,30,30,1,0.1016850092857334,0.8983149907142666,0,,,,,,
2019-wimbledon-2701,84,2,0,1,2,4,40,30,2,0.1286936793598183,0.8713063206401817,0,,,,,,
2019-wimbledon-2701,85,2,0,1,2,4,40,40,2,0.0958236294580023,0.9041763705419976,0,,,,,,
2019-wimbledon-2701,86,2,0,1,2,4,40,AD,1,0.0759453022164558,0.9240546977835442,0,,,,,,
2019-wimbledon-2701,87,2,0,1,2,4,40,40,1,0.0827477598393152,0.9172522401606849,0,,,,,,
2019-wimbledon-2701,88,2,0,1,2,4,AD,40,2,0.1216453305919634,0.8783546694080365,1,0.1578942378324382,0.8421057621675618,3,4,0,0
2019-wimbledon-2701,89,2,0,1,2,4,40,40,2,0.0958236294580023,0.9041763705419976,0,,,,,,
2019-wimbledon-2701,90,2,0,1,2,4,40,AD,2,0.0759453022164558,0.9240546977835442,0,,,,,,
2019-wimbledon-2701,91,2,0,1,2,5,0,0,2,0.0742421329312281,0.9257578670687718,0,,,,,,
2019-wimbledon-2701,92,2,0,1,2,5,0,15,2,0.0663556239399336,0.9336443760600664,0,,,,,,
2019-wimbledon-2701,93,2,0,1,2,5,0,30,2,0.0609063896283174,0.9390936103716826,1,0.0650175025632836,0.9349824974367164,2,5,15,30
2019-wimbledon-2701,94,2,0,1,2,5,0,40,2,0.0529388073505069,0.9470611926494932,0,,,,,,
